mouse_score,keyboard_score,window_score,total_risk_score,risk_level,avg_norm_x,avg_norm_y,std_norm_x,std_norm_y,top_edge_time,bottom_edge_time,idle_percentage,key_press_count,key_press_rate,alt_key_count,tab_key_count,meta_key_count,control_key_count,shift_key_count,shortcut_key_count,shortcut_key_ratio,backspace_count,backspace_ratio,backspace_burst_count,rapid_key_count,rapid_key_ratio,clipboard_operation_count,clipboard_operation_rate,copy_count,cut_count,paste_count,avg_clipboard_length,blur_count,total_blur_duration,avg_blur_duration,tab_switch_count,window_resize_count,suspicious_resize_count,rapid_switch_count,tab_switch_frequency,window_switch_frequency,resize_frequency,exam_id,window_start
5.706,47.785,85.7215,56.2335,medium,0.2834,0.2803,0.1377,0.146,0.0,0.0,0.3226,5.0,0.1879,4.0,0.0,0.0,0.0,0.0,4.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,2.2548,0.0,1.0,0.0,2.0,11.0,7.349,0.6681,9.0,1.0,1.0,28.0,20.2931,24.8027,2.2548,1,2025-03-14 17:04:30.441000+05:30
0.1,0.0,0.0,0.025,low,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3769,0.0,1,2025-03-14 17:05:00.441000+05:30
1.938,0.0,0.0,0.4845,low,0.0756,0.0856,0.0199,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2025-03-14 17:07:30.441000+05:30
6.471,0.0,54.3095,28.7725,medium,0.2187,0.3998,0.127,0.1952,0.0,0.0,0.2709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.85,2.2125,0.0,0.0,0.0,2.0,0.0,10.194,0.0,1,2025-03-14 17:08:00.441000+05:30
7.532,81.429,73.9575,59.219,medium,0.1829,0.3872,0.1058,0.2681,0.0,0.0,0.539,10.0,0.4665,0.0,0.0,3.0,1.0,2.0,6.0,0.6,0.0,0.0,0.0,3.0,0.3,2.0,5.5983,2.0,0.0,0.0,1.5,4.0,8.845,2.2112,2.0,0.0,0.0,6.0,5.5983,11.1966,0.0,1,2025-03-14 17:09:30.441000+05:30
5.293,40.0,80.0,51.3232,medium,0.1103,0.3544,0.073,0.1889,0.0,0.0,0.5482,5.0,0.2038,3.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.42,1.7367,0.0,2.0,2.0,8.0,0.0,17.117,4.8906,1,2025-03-14 17:10:00.441000+05:30
0.1,0.0,27.3345,13.6922,low,0.02,0.0989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,53.6673,53.6673,0.0,1,2025-03-14 17:12:30.441000+05:30
10.628,0.0,83.0,44.157,medium,0.3256,0.5412,0.3158,0.2112,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.256,4.064,2.0,1.0,1.0,7.0,4.8666,9.7331,2.4333,1,2025-03-14 17:17:00.441000+05:30
6.735,48.571,90.0,58.8265,medium,0.2929,0.3622,0.1172,0.2157,0.0,0.0,0.7671,5.0,0.1706,1.0,0.0,2.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.479,2.2113,6.0,0.0,0.0,16.0,12.285,14.3325,0.0,1,2025-03-14 17:17:30.441000+05:30
0.1,0.0,0.0,0.025,low,0.2586,0.3584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1515,0.0,1,2025-03-14 17:18:00.441000+05:30
4.814,86.9745,52.4185,49.1564,medium,0.1934,0.2215,0.0845,0.1562,0.0,0.0,0.0,34.0,2.0995,2.0,0.0,1.0,5.0,1.0,9.0,0.2647,0.0,0.0,0.0,19.0,0.5588,2.0,7.4102,2.0,0.0,0.0,2.0,5.0,2.691,0.6727,2.0,0.0,0.0,9.0,7.4102,18.5254,0.0,1,2025-03-14 17:22:00.441000+05:30
9.152,16.0,90.0,51.288,medium,0.3183,0.5558,0.3403,0.1123,0.0,0.0,1.0,2.0,0.1176,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.579,3.6448,8.0,1.0,0.0,14.0,28.2121,17.6325,3.5265,1,2025-03-14 17:22:30.441000+05:30
4.427,46.5495,87.711,56.5996,medium,0.3176,0.064,0.1461,0.0719,0.0,0.0,0.6701,5.0,0.1732,2.0,0.0,2.0,0.0,0.0,4.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,2.0786,1.0,0.0,0.0,1.0,9.0,9.346,1.0384,7.0,0.0,0.0,21.0,14.55,18.7071,0.0,1,2025-03-14 17:23:00.441000+05:30
6.664,8.0,53.619,30.4755,medium,0.3764,0.311,0.1478,0.1854,0.0,0.0,0.0,1.0,0.1554,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.034,1.517,2.0,0.0,0.0,4.0,18.6538,27.9807,0.0,1,2025-03-14 17:23:30.441000+05:30
72.676,0.0,64.7445,50.5413,medium,0.5987,0.029,0.0998,0.0305,1.0,0.0,0.7007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.927,1.9635,4.0,0.0,0.0,6.0,12.5007,9.3755,0.0,1,2025-03-14 17:26:00.441000+05:30
6.76,43.0615,81.9275,53.4191,medium,0.2981,0.3438,0.1796,0.157,0.0,0.0,0.2808,14.0,0.475,7.0,0.0,3.0,0.0,1.0,11.0,0.7857,0.0,0.0,0.0,2.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.265,0.6961,5.0,1.0,1.0,20.0,10.1785,20.3569,2.0357,1,2025-03-14 17:26:30.441000+05:30
0.1,0.0,74.0,37.025,medium,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.731,10.731,1.0,0.0,0.0,3.0,5.4122,10.8245,0.0,1,2025-03-14 17:27:00.441000+05:30
